ANIMI,AKOOD,TYYP,ONIMI,OKOOD,MNIMI,MKOOD,AREA
Turba alevik,8421,7,Nissi vald,517,Harju maakond,37,1157013.8860000907
Riisipere alevik,6989,7,Nissi vald,517,Harju maakond,37,1434764.5237500248
Koidu küla,3285,8,Saue vald,727,Harju maakond,37,1893539.873250119
Vansi küla,9049,8,Kernu vald,297,Harju maakond,37,3774529.0192502346
Püha küla,6652,8,Saue vald,727,Harju maakond,37,4345763.261549992
Saue linn,728,4,Saue linn,728,Harju maakond,37,4386849.464699918
Haiba küla,1720,8,Kernu vald,297,Harju maakond,37,4586947.828099257
Metsanurga küla,4903,8,Kernu vald,297,Harju maakond,37,4768708.551399704
Pällu küla,6588,8,Saue vald,727,Harju maakond,37,4805270.3847503485
Ürjaste küla,9846,8,Nissi vald,517,Harju maakond,37,4827938.893549903
Kirikla küla,3120,8,Kernu vald,297,Harju maakond,37,5177262.384400452
Kivitammi küla,3195,8,Nissi vald,517,Harju maakond,37,5569118.942599752
Kernu küla,2976,8,Kernu vald,297,Harju maakond,37,5726443.885300015
Pärinurme küla,6603,8,Saue vald,727,Harju maakond,37,5981516.322849889
Laagri alevik,4014,7,Saue vald,727,Harju maakond,37,6010398.722450217
Valingu küla,8946,8,Saue vald,727,Harju maakond,37,6563633.996750065
Madila küla,4717,8,Nissi vald,517,Harju maakond,37,6700561.178700381
Allika küla,1206,8,Kernu vald,297,Harju maakond,37,7143102.833449954
Hingu küla,1854,8,Kernu vald,297,Harju maakond,37,7287892.193800206
Aila küla,1141,8,Saue vald,727,Harju maakond,37,7697617.332899842
Mustu küla,5093,8,Nissi vald,517,Harju maakond,37,7792202.391699869
Vilumäe küla,9362,8,Nissi vald,517,Harju maakond,37,8040085.8522995785
Muusika küla,5110,8,Kernu vald,297,Harju maakond,37,8121591.084749948
Ruila küla,7110,8,Kernu vald,297,Harju maakond,37,8501218.316099966
Pohla küla,6308,8,Kernu vald,297,Harju maakond,37,9556869.714549843
Kiia küla,3025,8,Saue vald,727,Harju maakond,37,9709812.711550025
Ellamaa küla,1585,8,Nissi vald,517,Harju maakond,37,9768268.317499869
Kaasiku küla,2427,8,Kernu vald,297,Harju maakond,37,9950007.643350327
Vanamõisa küla,9033,8,Saue vald,727,Harju maakond,37,10279090.16349978
Vatsla küla,9146,8,Saue vald,727,Harju maakond,37,10390597.572900102
Lepaste küla,4289,8,Nissi vald,517,Harju maakond,37,10608577.071900003
Viruküla,9401,8,Nissi vald,517,Harju maakond,37,10946442.34474969
Kohatu küla,3266,8,Kernu vald,297,Harju maakond,37,10968134.340949796
Kibuna küla,3001,8,Kernu vald,297,Harju maakond,37,11044817.487200221
Jõgisoo küla,2267,8,Saue vald,727,Harju maakond,37,11076502.10235026
Alliku küla,1216,8,Saue vald,727,Harju maakond,37,11078894.46849947
Kabila küla,2455,8,Kernu vald,297,Harju maakond,37,12035713.894849552
Jaanika küla,2135,8,Nissi vald,517,Harju maakond,37,12404307.46299959
Hüüru küla,1975,8,Saue vald,727,Harju maakond,37,12979823.272150107
Koppelmaa küla,3439,8,Saue vald,727,Harju maakond,37,13545169.312500183
Aude küla,1449,8,Nissi vald,517,Harju maakond,37,15485592.194001392
Laitse küla,4075,8,Kernu vald,297,Harju maakond,37,16603253.053799389
Ääsmäe küla,9794,8,Saue vald,727,Harju maakond,37,16700295.486549417
Odulemma küla,5601,8,Nissi vald,517,Harju maakond,37,16879671.04790059
Tagametsa küla,8045,8,Saue vald,727,Harju maakond,37,18879778.60469998
Tuula küla,8450,8,Saue vald,727,Harju maakond,37,20243507.978350382
Nurme küla,5467,8,Nissi vald,517,Harju maakond,37,22240135.291399665
Tabara küla,8006,8,Nissi vald,517,Harju maakond,37,23016800.846549317
Maidla küla,4739,8,Saue vald,727,Harju maakond,37,23178602.023649864
Kustja küla,3705,8,Kernu vald,297,Harju maakond,37,24571720.180050507
Mõnuste küla,5157,8,Kernu vald,297,Harju maakond,37,24953510.98750066
Munalaskme küla,5028,8,Nissi vald,517,Harju maakond,37,28043470.389899794
Lehetu küla,4206,8,Nissi vald,517,Harju maakond,37,30172265.195550065
Siimika küla,7571,8,Nissi vald,517,Harju maakond,37,37996404.01164999
